model,tahun,harga,transmisi,jarak_tempuh,bahan_bakar,pajak,mpg,ukuran_mesin,Kategori_Mesin
Toyota Agya,2020,136000000,Manual,24089,Petrol/Gasoline/Bensin,1725250,20.0,1.0,Kecil
Toyota Agya,2017,200000000,Manual,19400,Petrol/Gasoline/Bensin,1200000,22.0,1.2,Kecil
Daihatsu Ayla,2014,117000000,Manual,68000,Petrol/Gasoline/Bensin,1000000,22.0,1.0,Kecil
Mitsubishi Mirage,2012,173000000,Automatic,150000,Petrol/Gasoline/Bensin,2400000,20.0,1.2,Kecil
Toyota Avanza G,2010,180000000,Manual,20810,Petrol/Gasoline/Bensin,200000,26.0,1.6,Kecil
Toyota Inova,2012,200000000,Manual,12000,Petrol/Gasoline/Bensin,1300000,29.5,2.3,Medium
BMW 3X13,2023,125000000,Semi-Auto,25000,Petrol/Gasoline/Bensin,500000,23.0,1.3,Kecil
Daihatsu Gran Max,2018,200000000,Manual,149000,Petrol/Gasoline/Bensin,3000000,22.0,1.5,Kecil
Daihatsu Xenia ,2017,130000000,Manual,227000,Petrol/Gasoline/Bensin,1500000,25.0,1.3,Kecil
Mitsubishi Colt T120 SS,2018,109000000,Manual,280000,Petrol/Gasoline/Bensin,1563000,22.0,1.5,Kecil
Toyota Avanza ,2012,105000000,Manual,28000,Petrol/Gasoline/Bensin,3500000,25.0,1.5,Kecil
Toyota Avanza,2012,105000000,Manual,109000,Petrol/Gasoline/Bensin,2989000,23.0,1.3,Kecil
Toyota Avanza,2014,157000000,Manual,120000,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Honda Brio,2018,128000000,Manual,85700,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Honda Brio E,2016,129000000,Semi-Auto,75438,Petrol/Gasoline/Bensin,2000000,25.0,1.3,Kecil
Toyota Avanza,2012,105000000,Manual,10000,Petrol/Gasoline/Bensin,3500000,23.0,1.3,Kecil
Suzuki Ertiga GL DOUBLE BLOWER,2013,156000000,Manual,180000,Petrol/Gasoline/Bensin,3880000,24.0,1.4,Kecil
Daihatsu Ayla,2016,87000000,Manual,10000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Suzuki Ertiga GL ,2012,108000000,Manual,60000,Petrol/Gasoline/Bensin,3507000,24.0,1.4,Kecil
Toyota Kijang Innova,2015,177000000,Manual,66781,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Suzuki Ertiga GL,2019,164000000,Manual,50000,Petrol/Gasoline/Bensin,3507000,24.0,1.4,Kecil
Honda Jazz,2013,125000000,Manual,120000,Petrol/Gasoline/Bensin,2000000,22.0,1.5,Kecil
Daihatsu Ayla,2017,134000000,Manual,58074,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Avanza,2021,189000000,Manual,40000,Petrol/Gasoline/Bensin,2800000,25.0,1.5,Kecil
Daihatsu Ayla,2017,134000000,Manual,21542,Petrol/Gasoline/Bensin,1371000,25.0,1.2,Kecil
Toyota Agya,2021,170390000,Semi-Auto,47300,Petrol/Gasoline/Bensin,1500000,22.0,1.2,Kecil
Daihatsu Ayla,2019,97000000,Manual,5000,Petrol/Gasoline/Bensin,1371000,25.0,1.2,Kecil
Daihatsu Xenia ,2017,125000000,Manual,52580,Petrol/Gasoline/Bensin,1800000,25.0,1.3,Kecil
Toyota Calya ,2019,136000000,Manual,45000,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Yaris G,2014,140000000,Manual,75000,Petrol/Gasoline/Bensin,3250000,25.0,1.5,Kecil
Honda Brio Satya E,2016,110000000,Manual,87540,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Ayla,2019,125000000,Automatic,45000,Petrol/Gasoline/Bensin,1371000,25.0,1.2,Kecil
Suzuki Ertiga DX,2012,256600000,Semi-Auto,70000,Petrol/Gasoline/Bensin,3507000,24.0,1.4,Kecil
Daihatsu Xenia ,2015,92000000,Manual,50000,Petrol/Gasoline/Bensin,1500000,22.0,1.0,Kecil
Toyota Kijang Innova,2008,105000000,Manual,150000,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Honda Brio,2014,95000000,Automatic,150000,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
Daihatsu Ayla,2016,87000000,Manual,63000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Toyota Avanza,2020,152000000,Manual,55949,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Toyota Avanza,2016,214000000,Semi-Auto,299762,Petrol/Gasoline/Bensin,2800000,23.0,1.3,Kecil
Daihatsu Xenia DLX VTTi,2015,109000000,Manual,98000,Petrol/Gasoline/Bensin,1371000,22.0,1.0,Kecil
Honda Jazz GE8,2013,140000000,Automatic,125421,Petrol/Gasoline/Bensin,2000000,22.0,1.5,Kecil
Toyota Fortuner ,2012,220000000,Semi-Auto,98758,Petrol/Gasoline/Bensin,4000000,29.5,2.5,Medium
Honda CRV i-VTEC ,2013,199000000,Manual,90000,Petrol/Gasoline/Bensin,3200000,29.5,2.0,Medium
Daihatsu Xenia VVTI,2017,135000000,Manual,245454,Petrol/Gasoline/Bensin,2450000,25.0,1.3,Kecil
Toyota Calya G,2017,128000000,Manual,94728,Petrol/Gasoline/Bensin,2000000,22.0,1.2,Kecil
Toyota Fortuner G,2011,180000000,Automatic,192452,Diesel/Solar,4890000,29.5,2.4,Medium
Toyota Yaris J,2012,104000000,Manual,89560,Petrol/Gasoline/Bensin,3371000,25.0,1.5,Kecil
Toyota Innova G,2018,249000000,Manual,48000,Petrol/Gasoline/Bensin,4000000,29.5,2.0,Medium
Honda Brio Satya E,2018,110000000,Manual,242252,Petrol/Gasoline/Bensin,2000000,25.0,1.2,Kecil
