model,tahun,harga,transmisi,jarak_tempuh,bahan_bakar,pajak,mpg,ukuran_mesin,Kategori_Mesin
Mitsubishi,1870,290000000,0,27499,0,1800000,28.0,1.8,Kecil
Toyota Agya,2020,136000000,0,24089,0,1725250,20.0,1.0,Kecil
Toyota Agya,2017,200000000,0,19400,0,1200000,22.0,1.2,Kecil
Toyota Rush,2022,280000000,0,30063,0,145000,28.0,1.8,Kecil
Daihatsu Ayla,2014,117000000,0,68000,0,1000000,22.0,1.0,Kecil
Mitsubishi Mirage,2012,173000000,1,150000,0,2400000,20.0,1.2,Kecil
Toyota Avanza G,2010,180000000,0,20810,0,200000,26.0,1.6,Kecil
Toyota Inova,2012,200000000,0,12000,0,1300000,29.5,2.3,Medium
BMW 3X13,2023,125000000,2,25000,0,500000,23.0,1.3,Kecil
Daihatsu Gran Max,2018,200000000,0,149000,0,3000000,22.0,1.5,Kecil
Daihatsu Xenia ,2017,130000000,0,227000,0,1500000,25.0,1.3,Kecil
Mitsubishi Colt T120 SS,2018,109000000,0,280000,0,1563000,22.0,1.5,Kecil
Toyota Avanza ,2012,105000000,0,28000,0,3500000,25.0,1.5,Kecil
Toyota Yaris S,2015,147,0,110000,0,1209500,25.0,1.5,Kecil
Toyota Avanza,2012,105000000,0,109000,0,2989000,23.0,1.3,Kecil
Toyota Avanza,2014,157000000,0,120000,0,2800000,23.0,1.3,Kecil
Honda Brio,2018,128000000,0,85700,0,2000000,25.0,1.2,Kecil
Honda Brio E,2016,129000000,2,75438,0,2000000,25.0,1.3,Kecil
Toyota Avanza,2012,105000000,0,10000,0,3500000,23.0,1.3,Kecil
Suzuki Ertiga GL DOUBLE BLOWER,2013,156000000,0,180000,0,3880000,24.0,1.4,Kecil
Daihatsu Ayla,2016,87000000,0,10000,0,1371000,22.0,1.0,Kecil
Suzuki Ertiga GL ,2012,108000000,0,60000,0,3507000,24.0,1.4,Kecil
Toyota Kijang Innova,2015,177000000,0,66781,0,4000000,29.5,2.0,Medium
Suzuki Ertiga GL,2019,164000000,0,50000,0,3507000,24.0,1.4,Kecil
Honda Jazz,2013,125000000,0,120000,0,2000000,22.0,1.5,Kecil
Nissan Grand Livina,2013,287000000,1,66000,0,2500000,25.0,1.5,Kecil
Daihatsu Ayla,2017,134000000,0,58074,0,1371000,22.0,1.0,Kecil
Toyota Avanza,2021,189000000,0,40000,0,2800000,25.0,1.5,Kecil
Daihatsu Ayla,2017,134000000,0,21542,0,1371000,25.0,1.2,Kecil
Toyota Agya,2021,170390000,2,47300,0,1500000,22.0,1.2,Kecil
Daihatsu Ayla,2019,97000000,0,5000,0,1371000,25.0,1.2,Kecil
Daihatsu Xenia ,2017,125000000,0,52580,0,1800000,25.0,1.3,Kecil
Toyota Calya ,2019,136000000,0,45000,0,2000000,22.0,1.2,Kecil
Toyota Yaris G,2014,140000000,0,75000,0,3250000,25.0,1.5,Kecil
Honda Brio Satya E,2016,110000000,0,87540,0,2000000,25.0,1.2,Kecil
Daihatsu Ayla,2019,125000000,1,45000,0,1371000,25.0,1.2,Kecil
Suzuki Ertiga DX,2012,256600000,2,70000,0,3507000,24.0,1.4,Kecil
Daihatsu Xenia ,2015,92000000,0,50000,0,1500000,22.0,1.0,Kecil
Toyota Kijang Innova,2008,105000000,0,150000,0,4000000,29.5,2.0,Medium
Honda Brio,2014,95000000,1,150000,0,2000000,25.0,1.2,Kecil
Daihatsu Ayla,2016,87000000,0,63000,0,1371000,22.0,1.0,Kecil
Toyota Avanza,2020,152000000,0,55949,0,2800000,23.0,1.3,Kecil
Toyota Avanza,2016,214000000,2,299762,0,2800000,23.0,1.3,Kecil
Daihatsu Xenia DLX VTTi,2015,109000000,0,98000,0,1371000,22.0,1.0,Kecil
Honda Jazz GE8,2013,140000000,1,125421,0,2000000,22.0,1.5,Kecil
Toyota Fortuner ,2012,220000000,2,98758,0,4000000,29.5,2.5,Medium
Honda CRV i-VTEC ,2013,199000000,0,90000,0,3200000,29.5,2.0,Medium
Daihatsu Xenia VVTI,2017,135000000,0,245454,0,2450000,25.0,1.3,Kecil
Toyota Calya G,2017,128000000,0,94728,0,2000000,22.0,1.2,Kecil
Toyota Fortuner G,2011,180000000,1,192452,1,4890000,29.5,2.4,Medium
Toyota Yaris J,2012,104000000,0,89560,0,3371000,25.0,1.5,Kecil
Toyota Innova G,2018,249000000,0,48000,0,4000000,29.5,2.0,Medium
Honda Brio Satya E,2018,110000000,0,242252,0,2000000,25.0,1.2,Kecil
Daihatsu Terios TX ADVENTURE,2015,135000000,0,120000,0,2320000,22.0,1.5,Kecil
Honda Brio E,2023,108600000,0,110000,0,2000000,25.0,1.2,Kecil
Honda Brio E,2018,120000000,0,10000,0,2000000,25.0,1.2,Kecil
Toyota Calya E,2016,128000000,0,112412,0,2000000,22.0,1.2,Kecil
Honda Brio E,2014,95000000,0,10000,0,2000000,25.0,1.2,Kecil
Honda Brio Satya E,2018,120000000,1,28000,0,2000000,25.0,1.2,Kecil
Toyota Kijang Innova,2007,80000000,0,85000,0,4000000,29.5,2.5,Medium
Honda CRV Turbo Prestige,2013,230000000,1,117000,0,3200000,22.0,1.5,Kecil
Toyota Avanza E,2014,110000000,0,112000,0,2800000,23.0,1.3,Kecil
Toyota Agya G,2018,120000000,0,55600,0,1725250,22.0,1.2,Kecil
Toyota Yaris E FL,2008,73000000,1,25000,0,3371000,25.0,1.5,Kecil
Toyota Avanza G,2021,207150000,0,45730,0,2800000,23.0,1.3,Kecil
Daihatsu Ayla X,2018,138150000,0,65000,0,1371000,22.0,1.0,Kecil
Toyota Avanza G,2011,101500000,0,184542,0,2800000,23.0,1.3,Kecil
Daihatsu Xenia XI VVTI,2012,85000000,0,150000,0,1371000,22.0,1.0,Kecil
Daihatsu Ayla M,2015,89000000,0,70000,0,1371000,22.0,1.0,Kecil
Toyota Agya G,2016,98000000,1,70000,0,1371000,20.0,1.0,Kecil
Daihatsu Ayla R,2018,115000000,0,70000,0,2000000,25.0,1.2,Kecil
Toyota Yaris E  ,2013,125000000,0,12000,0,3371000,25.0,1.5,Kecil
Honda Brio E,2018,191900000,0,70580,0,2000000,25.0,1.2,Kecil
Toyota Calya E,2018,164700000,0,12000,0,2000000,22.0,1.2,Kecil
Toyota Fortuner G,2008,185000000,1,325421,0,4000000,29.5,2.7,Medium
Toyota Kijang Innova V,2011,173000000,1,124560,0,4000000,29.5,2.0,Medium
Honda Mobilio E,2015,119000000,1,94689,0,2867000,22.0,1.2,Kecil
Honda Jazz RS,2019,300000000,0,6432,0,2000000,22.0,1.5,Kecil
Daihatsu Terios TX ADVENTURE,2012,155000000,1,112456,0,2300000,22.0,1.5,Kecil
Mitsubishi Pajero Sport DAKAR HI POWER,2010,285000000,1,80000,1,9431000,29.5,2.5,Medium
Toyota Avanza G,2013,108000000,0,321546,0,2800000,23.0,1.3,Kecil
Toyota Yaris G,2008,70000000,1,428000,0,3371000,25.0,1.5,Kecil
Toyota Calya E,2018,167600000,0,85000,0,2000000,22.0,1.2,Kecil
Suzuki Ertiga,2013,114999000,1,107000,0,2800000,23.0,1.3,Kecil
